Team 1 VS Team 2,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match Link,Ground Link
Australia VS West Indies,Australia,West Indies,West Indies,17 runs,Lord's,"Jun 21, 1975",ODI # 33,https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/australia-vs-west-indies-final-65049/full-scorecard,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129
England VS Australia,England,Australia,Australia,4 wickets,Leeds,"Jun 18, 1975",ODI # 31,https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/england-vs-australia-1st-semi-final-65047/full-scorecard,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092
New Zealand VS West Indies,New Zealand,West Indies,West Indies,5 wickets,The Oval,"Jun 18, 1975",ODI # 32,https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/new-zealand-vs-west-indies-2nd-semi-final-65048/full-scorecard,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127
England VS East Africa,England,East Africa,England,196 runs,Birmingham,"Jun 14, 1975",ODI # 27,https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/england-vs-east-africa-9th-match-65043/full-scorecard,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788
India VS New Zealand,India,New Zealand,New Zealand,4 wickets,Manchester,"Jun 14, 1975",ODI # 28,https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/india-vs-new-zealand-10th-match-65044/full-scorecard,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160
Australia VS West Indies,Australia,West Indies,West Indies,7 wickets,The Oval,"Jun 14, 1975",ODI # 29,https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/australia-vs-west-indies-11th-match-65045/full-scorecard,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127
Pakistan VS Sri Lanka,Pakistan,Sri Lanka,Pakistan,192 runs,Nottingham,"Jun 14, 1975",ODI # 30,https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/pakistan-vs-sri-lanka-12th-match-65046/full-scorecard,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219
England VS New Zealand,England,New Zealand,England,80 runs,Nottingham,"Jun 11, 1975",ODI # 23,https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/england-vs-new-zealand-5th-match-65039/full-scorecard,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219
East Africa VS India,East Africa,India,India,10 wickets,Leeds,"Jun 11, 1975",ODI # 24,https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/east-africa-vs-india-6th-match-65040/full-scorecard,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092
Australia VS Sri Lanka,Australia,Sri Lanka,Australia,52 runs,The Oval,"Jun 11, 1975",ODI # 25,https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/australia-vs-sri-lanka-7th-match-65041/full-scorecard,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127
Pakistan VS West Indies,Pakistan,West Indies,West Indies,1 wicket,Birmingham,"Jun 11, 1975",ODI # 26,https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/pakistan-vs-west-indies-8th-match-65042/full-scorecard,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788
England VS India,England,India,England,202 runs,Lord's,"Jun 7, 1975",ODI # 19,https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/england-vs-india-1st-match-65035/full-scorecard,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129
East Africa VS New Zealand,East Africa,New Zealand,New Zealand,181 runs,Birmingham,"Jun 7, 1975",ODI # 20,https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/east-africa-vs-new-zealand-2nd-match-65036/full-scorecard,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788
Australia VS Pakistan,Australia,Pakistan,Australia,73 runs,Leeds,"Jun 7, 1975",ODI # 21,https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/australia-vs-pakistan-3rd-match-65037/full-scorecard,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092
Sri Lanka VS West Indies,Sri Lanka,West Indies,West Indies,9 wickets,Manchester,"Jun 7, 1975",ODI # 22,https://www.espncricinfo.com/series/prudential-world-cup-1975-60793/sri-lanka-vs-west-indies-4th-match-65038/full-scorecard,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160
England VS West Indies,England,West Indies,West Indies,92 runs,Lord's,"Jun 23, 1979",ODI # 74,https://www.espncricinfo.com/series/prudential-world-cup-1979-60806/england-vs-west-indies-final-65063/full-scorecard,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129
England VS New Zealand,England,New Zealand,England,9 runs,Manchester,"Jun 20, 1979",ODI # 72,https://www.espncricinfo.com/series/prudential-world-cup-1979-60806/england-vs-new-zealand-1st-semi-final-65061/full-scorecard,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160
Pakistan VS West Indies,Pakistan,West Indies,West Indies,43 runs,The Oval,"Jun 20, 1979",ODI # 73,https://www.espncricinfo.com/series/prudential-world-cup-1979-60806/pakistan-vs-west-indies-2nd-semi-final-65062/full-scorecard,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127
